drug.id,drug.name,target
DRUG1135,AZD4547,FGRF1;FGFR2;FGFR3
DRUG1136,Capivasertib,AKT
DRUG1142,HG-5-113-01,LOK;LTK;TRCB;ABL(T315I)
DRUG1143,HG-5-88-01,EGFR;ADCK4
DRUG1149,TW 37,BCL2;BCL-XL;MCL1
DRUG1158,XMD11-85h,BRSK2;FLT4;MARK4;PRKCD;RET;SRPK1
DRUG1161,ZG-10,JNK1
DRUG1164,XMD8-92,MAPK7
DRUG1166,QL-VIII-58,MTOR;ATR
DRUG1170,CCT-018159,HSP90
DRUG1175,Rucaparib,PARP1;PARP2
DRUG1184,AZ20,ATR
DRUG1185,KU-60019,ATM
DRUG119,Lapatinib,EGFR;ERBB2
DRUG1192,GSK269962A,ROCK1;ROCK2
DRUG1194,SB505124,TGFBR1;ACVR1B;ACVR1C
DRUG1199,Tamoxifen,ESR1
DRUG1203,QL-XII-61,BMX;BTK
DRUG1218,JQ1,BRD2;BRD3;BRD4;BRDT
DRUG1219,PFI-1,BRD4
DRUG1230,IOX2,EGLN1
DRUG1236,UNC0638,G9a and GLP methyltransferases
DRUG1239,YK-4-279,RNA helicase A
DRUG1241,CHIR-99021,GSK3A;GSK3B
DRUG1242,(5Z)-7-Oxozeaenol,TAK1
DRUG1243,Piperlongumine,Induces reactive oxygen species
DRUG1248,Daporinad,NAMPT
DRUG1259,Talazoparib,PARP1;PARP2
DRUG1261,rTRAIL,TRAIL receptor agonist
DRUG1262,UNC1215,L3MBTL3
DRUG1263,UNC0642,G9a(EHMT2);GLP(EHMT1)
DRUG1264,SGC0946,DOT1L
DRUG1266,ICL1100013,N-myristoyltransferase 1/2
DRUG1268,XAV939,TNKS1;TNKS2
DRUG127,GSK269962A,ROCK1;ROCK2
DRUG133,Doxorubicin,Anthracycline
DRUG134,Etoposide,TOP2
DRUG135,Gemcitabine,Pyrimidine antimetabolite
DRUG136,Mitomycin-C,DNA crosslinker
DRUG1371,PLX-4720,BRAF
DRUG1372,Trametinib,MEK1;MEK2
DRUG1373,Dabrafenib,BRAF
DRUG1375,Temozolomide,DNA alkylating agent
DRUG1377,Afatinib,ERBB2;EGFR
DRUG1378,Bleomycin (50 uM),dsDNA break induction
DRUG1382,AZD3514,AR
DRUG1386,Doxorubicin,Anthracycline
DRUG1392,Bleomycin (10 uM),dsDNA break induction
DRUG1393,Gemcitabine,Pyrimidine antimetabolite
DRUG1394,AZD6738,ATR
DRUG140,Vinorelbine,Microtubule destabiliser
DRUG1401,AZD5438,CDK2
DRUG1402,AZD7762,CHEK1;CHEK2
DRUG1403,AZD6094,MET
DRUG1407,Dyrk1b_0191,DYRK1B
DRUG1409,AZD4877,EG5
DRUG1413,EphB4_9721,EPHB4
DRUG1414,Fulvestrant,ESR1
DRUG1416,AZD8931,EGFR;ERBB2;ERBB3
DRUG1419,FEN1_3940,FEN1
DRUG1421,FGFR_0939,FGFR4
DRUG1422,FGFR_3831,FGFR1;FGFR2;FGFR3;FGFR4
DRUG1425,BPTES,GLS
DRUG1426,AZD7969,GSK3B
DRUG1427,AZD5582,IAP
DRUG1428,IAP_5620,IAP
DRUG1429,IAP_7638,IAP
DRUG1430,IGFR_3801,IGFR1
DRUG1432,AZD1480,JAK1;JAK2
DRUG1433,JAK1_3715,JAK1
DRUG1434,JAK3_7406,JAK3
DRUG1436,MCT1_6447,MCT1
DRUG1437,MCT4_1422,MCT4
DRUG1441,AZD2014,mTORC1;mTORC2
DRUG1444,AZD8186,PI3Kbeta;PI3Kdelta
DRUG1445,AZD8835,PI3Kalpha;PI3Kdelta
DRUG1446,PI3Ka_4409,PI3Kalpha;PI3Kdelta
DRUG1449,AZD1208,PIM1;PIM2;PIM3
DRUG1451,PLK_6522,PLK1;PLK2;PLK3
DRUG1453,RAF_9304,ARAF;BRAF;CRAF
DRUG1458,PARP_9495,PARP1;PARP2;PARP7
DRUG1459,PARP_0108,PARP1;PARP2;PARP6
DRUG1460,PARP_9482,PARP1;PARP2;PARP5a
DRUG1461,TANK_1366,Tankyrase 1/2 (PARP5a;PARP5b)
DRUG1463,AZD1332,NTRK1;NTRK2;NTRK3
DRUG1464,TTK_3146,TTK
DRUG147,NSC-87877,SHP-1 (PTPN6);SHP-2 (PTPN11)
DRUG1490,SN-38,TOP1
DRUG1494,SN-38,TOP1
DRUG1495,Olaparib,PARP1;PARP2
DRUG1496,Cisplatin,DNA crosslinker
DRUG1497,AZD4547,FGFR1;FGFR2;FGFR3
DRUG1498,Selumetinib,MEK1;MEK2
DRUG150,Bicalutamide,AR
DRUG1502,Bicalutamide,AR
DRUG151,QS11,ARFGAP1
DRUG152,CP466722,ATM
DRUG1526,Refametinib,MEK1;MEK2
DRUG1527,Pictilisib,PI3K (class 1)
DRUG1529,Pevonedistat,NAE
DRUG153,Midostaurin,PKC;PPK;FLT1;c-FGR;others
DRUG1530,PFI-3,SMARCA2;SMARCA4;PB1
DRUG154,CHIR-99021,GSK3A;GSK3B
DRUG155,Ponatinib,ABL;PDGFRA;VEGFR2;FGFR1;SRC;TIE2;FLT3
DRUG156,AZD6482,PI3Kbeta
DRUG157,JNK-9L,JNK2;JNK3
DRUG158,PF-562271,FAK;FAK2
DRUG159,HG6-64-1,BRAF
DRUG163,JQ1,BRD2;BRD3;BRD4;BRDT
DRUG164,JQ12,HDAC1;HDAC2
DRUG165,DMOG,HIF-PH
DRUG166,FTI-277,Farnesyl-transferase (FNTA)
DRUG167,OSU-03012,PDK1 (PDPK1)
DRUG17,Cyclopamine,SMO
DRUG170,Shikonin,not defined
DRUG171,AKT inhibitor VIII,AKT1;AKT2;AKT3
DRUG172,Embelin,XIAP
DRUG173,FH535,PPARgamma;PPARdelta
DRUG175,PAC-1,Procaspase-3;Procaspase-7
DRUG176,IPA-3,PAK1
DRUG177,GSK650394,SGK2;SGK3
DRUG178,BAY-61-3606,SYK
DRUG179,5-Fluorouracil,Antimetabolite (DNA & RNA)
DRUG180,Thapsigargin,SERCA
DRUG182,Obatoclax Mesylate,BCL2;BCL-XL;BCL-W;MCL1
DRUG184,BMS-754807,IGF1R;IR
DRUG185,Linsitinib,IGF1R
DRUG186,Bexarotene,Retinioic X receptor (RXR) agonist
DRUG190,Bleomycin,dsDNA break induction
DRUG192,LFM-A13,BTK
DRUG193,GW-2580,CSF1R
DRUG194,Luminespib,HSP90
DRUG196,Phenformin,Biguanide agent
DRUG197,Bryostatin 1,PKC
DRUG199,Pazopanib,CSF1R;KIT;PDGFRA;PDGFRB
DRUG200,Dacinostat,HDAC1
DRUG201,Epothilone B,Microtubule stabiliser
DRUG202,GSK1904529A,IGF1R;IR
DRUG203,BMS-345541,IKK1;IKK2
DRUG204,Tipifarnib,Farnesyl-transferase (FNTA)
DRUG205,Avagacestat,Amyloid beta20;Amyloid beta40
DRUG206,Ruxolitinib,JAK1;JAK2
DRUG207,AS601245,JNK1;JNK2;JNK2
DRUG208,Ispinesib Mesylate,KSP
DRUG211,TL-2-105,not defined
DRUG219,AT-7519,CDK1;CDK2;CDK4;CDK6;CDK9
DRUG221,TAK-715,p38alpha;p38beta
DRUG222,BX-912,PDK1 (PDPK1)
DRUG223,ZSTK474,PI3K (class 1)
DRUG224,AS605240,PI3Kgamma
DRUG225,Genentech Cpd 10,AURKA;AURKB
DRUG226,GSK1070916,AURKA;AURKC
DRUG228,AKT inhibitor VIII,AKT1;AKT2;AKT3
DRUG229,Enzastaurin,PKCB
DRUG230,GSK429286A,ROCK1;ROCK2
DRUG231,FMK,RSK
DRUG235,QL-XII-47,BTK;BMX
DRUG236,IC-87114,PI3Kdelta
DRUG238,Idelalisib,PI3Kdelta
DRUG245,UNC0638,G9a and GLP methyltransferases
DRUG249,Cabozantinib,VEGFR;MET;RET;KIT;FLT1;FLT3;FLT4;TIE2;AXL
DRUG252,WZ3105,SRC;ROCK2;NTRK2;FLT3;IRAK1;others
DRUG253,XMD14-99,ALK;CDK7;LTK;others
DRUG254,Quizartinib,FLT3
DRUG255,CP724714,ERBB2
DRUG256,JW-7-24-1,LCK
DRUG257,NPK76-II-72-1,PLK3
DRUG258,STF-62247,Autophagy inducer
DRUG260,NG-25,TAK1;MAP4K2
DRUG261,TL-1-85,TAK
DRUG262,VX-11e,ERK2
DRUG263,FR-180204,ERK1;ERK2
DRUG264,ACY-1215,HDAC6
DRUG265,Tubastatin A,HDAC1;HDAC6;HDAC8
DRUG266,Zibotentan,Endothelin-1 receptor (EDNRA)
DRUG268,Sepantronium bromide,BIRC5
DRUG269,NSC-207895,MDM4
DRUG271,VNLG/124,HDAC;RAR
DRUG272,AR-42,HDAC1
DRUG273,CUDC-101,HDAC1-10;EGFR;ERBB2
DRUG274,Belinostat,HDAC1
DRUG275,I-BET-762,BRD2;BRD3;BRD4
DRUG276,CAY10603,HDAC1;HDAC6
DRUG277,Linifanib,VEGFR1;VEGFR2;VEGFR3;CSF1R;FLT3;KIT
DRUG279,BIX02189,MEK5;ERK5
DRUG281,Alectinib,ALK
DRUG282,Pelitinib,EGFR
DRUG283,Omipalisib,PI3K (class 1);MTORC1;MTORC2
DRUG284,JNJ38877605,MET
DRUG285,SU11274,MET
DRUG286,KIN001-236,Angiopoietin-1 receptor
DRUG287,KIN001-244,PDK1 (PDPK1)
DRUG288,WHI-P97,JAK3
DRUG289,KIN001-042,GSK3B
DRUG29,AZ628,BRAF
DRUG290,KIN001-260,IKKB
DRUG291,KIN001-266,MAP3K8
DRUG292,Masitinib,KIT;PDGFRA;PDGFRB
DRUG293,Amuvatinib,KIT;PDGFRA;FLT3
DRUG294,MPS-1-IN-1,MPS1
DRUG295,NVP-BHG712,EPHB4
DRUG298,OSI-930,KIT
DRUG299,OSI-027,MTORC1;MTORC2
DRUG3,Rapamycin,MTORC1
DRUG30,Sorafenib,PDGFR;KIT;VEGFR;RAF
DRUG300,CX-5461,RNA Polymerase 1
DRUG301,PHA-793887,CDK2;CDK7;CDK5
DRUG302,PI-103,PI3Kalpha;DAPK3;CLK4;PIM3;HIPK2
DRUG303,PIK-93,PI3Kgamma
DRUG304,SB52334,ALK5
DRUG305,TPCA-1,IKK2
DRUG306,Fedratinib,JAK2
DRUG308,Foretinib,MET;KDR;TIE2;VEGFR3/FLT4;RON;PDGFR;FGFR1;EGFR
DRUG309,Y-39983,ROCK
DRUG310,YM201636,PIKFYVE
DRUG312,Tivozanib,VEGFR1;VEGFR2;VEGFR3
DRUG317,WYE-125132,mTOR
DRUG32,Tozasertib,AURKA;AURKB;AURKC;others
DRUG326,GSK690693,AKT1;AKT2;AKT3
DRUG328,SNX-2112,HSP90
DRUG329,QL-XI-92,DDR1
DRUG330,XMD13-2,RIPK1
DRUG331,QL-X-138,BTK
DRUG332,XMD15-27,CAMK2
DRUG333,T0901317,LXR;FXR
DRUG34,Imatinib,ABL;KIT;PDGFR
DRUG341,Selisistat,SIRT1
DRUG342,Tenovin-6,SIRT
DRUG344,THZ-2-49,CDK9
DRUG345,KIN001-270,CDK9
DRUG346,THZ-2-102-1,CDK7
DRUG35,NVP-TAE684,ALK
DRUG356,AT7867,AKT
DRUG362,CI-1033,EGFR;ERBB2;ERBB4
DRUG363,PF-00299804,EGFR;ERBB2;ERBB4
DRUG366,TWS119,GSK3
DRUG37,Crizotinib,MET;ALK;ROS1
DRUG371,Torin 2,mTOR
DRUG372,Pilaralisib,PI3K
DRUG374,GSK1059615,PI3K
DRUG375,Voxtalisib,PI3K (class 1);DNAPK;MTOR
DRUG376,Brivanib, BMS-540215,VEGFR;PDGFR
DRUG38,Saracatinib,ABL;SRC
DRUG380,BIBF-1120,VEGFR;PDGFR;FGFR
DRUG381,AST-1306,EGFR;ERBB4
DRUG382,Apitolisib,mTOR;PI3K
DRUG406,LIMK1 inhibitor BMS4,LIMK1
DRUG407,kb NB 142-70,PKD
DRUG408,Sphingosine Kinase 1 Inhibitor II,Sphingosine Kinase
DRUG409,eEF2K Inhibitor, A-484954,eEF2K
DRUG41,S-Trityl-L-cysteine,KIF11
DRUG410,MetAP2 Inhibitor, A832234,MetAP2
DRUG412,Venotoclax,BCL-2 selective
DRUG415,CPI-613,Metabo;Mitochondria
DRUG416,CAY10566,Stearoyl-CoA desaturase
DRUG427,Ara-G,Anti-metabolite
DRUG428,Pemetrexed,TYMS
DRUG431,Alisertib,AURKA
DRUG432,Flavopiridol,CDK
DRUG435,C-75,FAS
DRUG436,CAP-232, TT-232, TLN-232,Glycolysis
DRUG437,Trichostatin A,HDAC
DRUG438,Panobinostat,HDAC
DRUG439,LCL161,XIAP;cIAP1;cIAP2
DRUG442,IMD-0354,IKKb
DRUG446,MIM1,MCL-1
DRUG447,ETP-45835,MNK1;MNK2
DRUG449,CD532,AURKA
DRUG45,Z-LLNle-CHO,gamma-secretase
DRUG461,NSC319726,P53 Mut specific
DRUG474,ARRY-520,KIF11
DRUG476,SB505124,TGFBR1;ACVR1B;ACVR1C
DRUG477,A-83-01,TGFB
DRUG478,LDN-193189,BMP
DRUG5,Sunitinib,PDGFR;KIT;VEGFR;FLT3;RET;CSF1R
DRUG51,Dasatinib,ABL;SRC;Ephrins;PDGFR;KIT
DRUG52,GNF-2,BCR-ABL
DRUG53,CGP-60474,CDK1;CDK2;CDK5;CDK7;CDK9;PKC
DRUG54,CGP-082996,CDK4
DRUG546,FTY-720,S1P
DRUG55,A-770041,LCK;FYN
DRUG552,BAM7,Bax activator
DRUG56,WH-4-023,SRC;LCK
DRUG562,AGI-6780,IDH2(R140Q)
DRUG563,Kobe2602,RAS effector
DRUG573,LGK974,PORCN
DRUG574,Wnt-C59,PORCN
DRUG576,RU-SKI 43,Shh
DRUG59,WZ-1-84,BMX
DRUG6,PHA-665752,MET
DRUG60,BI-2536,PLK1;PLK2;PLK3
DRUG62,BMS-536924,IGF1R;IR
DRUG63,BMS-509744,ITK
DRUG64,CMK,RSK2
DRUG71,Pyrimethamine,Dihydrofolate reductase (DHFR)
DRUG83,JW-7-52-1,MTOR
DRUG86,A-443654,AKT1;AKT2;AKT3
DRUG87,GW843682X,PLK1
DRUG88,Entinostat,HDAC1;HDAC3
DRUG89,Parthenolide,HDAC1
DRUG9,MG-132,Proteasome;CAPN1
DRUG91,GSK319347A,IKK
DRUG94,TGX221,PI3Kbeta
